Altura_CoM_mm,ApEn_CoP,Arquivo,Base_Apoio_mm,Cadencia_passos_s,Comprimento_Braco_mm,Comprimento_Passada_Medio_mm,Comprimento_Perna_mm,Condicao,Cotovelo_Angulo_Medio_deg,Cotovelo_ROM_deg,Cotovelo_SD_deg,Cotovelo_Velocidade_RMS_deg_s,Distancia_CoP_CoM_mm,Distancia_Percorrida_m,Duplo_Suporte_pct,Estrategia_Dominante,Extensao_Cervical_deg,Flexao_Plantar_deg,ID_Participante,Indice_Verticalidade_deg,Num_Passos,Ombro_Angulo_Medio_deg,Ombro_ROM_deg,Ombro_SD_deg,Ombro_Velocidade_RMS_deg_s,Oscilacao_ML_CoM_mm,Quadril_Angulo_Medio_deg,Quadril_ROM_deg,Quadril_SD_deg,Quadril_Velocidade_RMS_deg_s,Razao_Estrategia_Cotovelo_Ombro,Rotacao_Maos_deg,Status_Marcha,Tempo_Execucao_s,Tempo_Sustentacao_s,Tentativa,Tipo_Tarefa,Variabilidade_Espacial_CV_pct,Variabilidade_Temporal_CV_pct,Velocidade_CoP_mm_s,Velocidade_Media_mm_s
1128.31,0.7756,P001_hs_assistida01_limpo.c3d,570.41,,636.65,,974.32,ASSISTIDO,130.47,70.76,12.47,30.8,50.02,,,Cotovelo-Dominante,23.35,33.45,P001,12.02,,106.7,58.62,9.3,47.31,,167.4,44.92,8.62,28.5,1.34,30.93,,,40.8,T1,HS_ASSISTIDO,,,98.98,
1155.78,0.9025,P001_hs_assistida02_limpo.c3d,569.89,,607.64,,967.9,ASSISTIDO,143.06,59.04,9.66,39.44,43.74,,,Ombro-Dominante,25.69,40.11,P001,15.72,,118.4,53.87,12.51,61.51,,164.65,39.51,4.77,33.28,0.77,31.56,,,35.83,T2,HS_ASSISTIDO,,,103.34,
1134.66,0.7328,P001_hs_assistida03_limpo.c3d,521.17,,509.54,,964.39,ASSISTIDO,157.6,70.95,15.15,21.06,37.06,,,Cotovelo-Dominante,25.29,36.37,P001,12.24,,167.24,59.63,13.05,21.38,,148.11,17.03,2.65,7.25,1.16,34.72,,,21.44,T3,HS_ASSISTIDO,,,76.51,
1115.28,0.7963,P001_hs_livre01_limpo.c3d,572.63,,504.85,,958.86,LIVRE,161.81,81.65,16.96,19.8,62.05,,,Cotovelo-Dominante,26.22,32.84,P001,19.06,,161.47,64.93,11.75,18.55,,147.41,36.05,4.88,9.96,1.44,29.39,,,14.52,T1,HS_LIVRE,,,90.92,
1135.82,0.6774,P001_hs_livre02_limpo.c3d,569.08,,509.98,,963.44,LIVRE,161.37,35.18,5.51,10.14,68.15,,,Mista/Multijunta,24.39,34.19,P001,12.3,,172.48,24.78,4.45,14.1,,146.65,30.69,3.05,9.67,1.24,30.99,,,24.52,T2,HS_LIVRE,,,86.16,
1137.83,0.5731,P001_hs_livre03_limpo.c3d,595.4,,509.76,,1060.14,LIVRE,160.75,38.43,6.46,9.64,58.97,,,Ombro-Dominante,24.3,-8.88,P001,9.47,,173.42,44.68,6.56,15.11,,147.57,11.65,1.98,6.26,0.98,28.56,,,23.28,T3,HS_LIVRE,,,72.76,
,,P001_hs_walk01_limpo.c3d,531.73,1.35,,137.6,,,,,,,,1.651,77.78,,55.54,22.43,P001,12.16,12,,,,,592.73,,,,,,48.05,Valida (>= 3 passos),8.86,,T1,HSW,401.04,51.62,,186.26
,,P001_hs_walk02_limpo.c3d,585.9,1.21,,222.77,,,,,,,,1.782,69.39,,20.91,-9.56,P001,15.1,8,,,,,541.08,,,,,,25.23,Valida (>= 3 passos),6.62,,T2,HSW,83.93,36.52,,269.41
,,P001_hs_walk03_limpo.c3d,566.77,0.98,,428.28,,,,,,,,4.283,56.01,,42.64,5.85,P001,13.42,10,,,,,287.99,,,,,,66.87,Valida (>= 3 passos),10.18,,T3,HSW,14.07,56.95,,420.5
1162.26,1.3046,P002_hs_assistido01_limpo.c3d,564.9,,517.0,,956.69,ASSISTIDO,152.55,11.88,2.63,6.37,105.29,,,Mista/Multijunta,17.91,38.42,P002,11.93,,155.63,30.81,4.27,11.21,,145.31,55.82,6.15,5.78,0.62,32.3,,,60.28,T1,HS_ASSISTIDO,,,96.16,
1157.01,0.8758,P002_hs_livre01_limpo.c3d,591.59,,519.13,,970.64,LIVRE,146.29,39.51,5.44,12.16,117.86,,,Mista/Multijunta,20.29,40.77,P002,7.67,,156.65,33.88,5.94,10.42,,150.2,36.63,3.65,8.28,0.92,33.18,,,50.98,T1,HS_LIVRE,,,97.96,
1157.48,0.7402,P002_hs_livre02_limpo.c3d,559.38,,519.69,,959.83,LIVRE,156.29,29.27,6.53,18.08,173.07,,,Cotovelo-Dominante,23.3,38.71,P002,7.44,,164.47,27.2,5.48,38.13,,145.81,38.29,8.55,16.95,1.19,31.23,,,18.99,T2,HS_LIVRE,,,87.09,
1141.9,0.7641,P002_hs_livre03_limpo.c3d,573.55,,522.79,,956.92,LIVRE,154.79,18.42,4.1,13.6,161.87,,,Mista/Multijunta,14.68,37.63,P002,8.78,,164.91,25.51,5.17,26.01,,146.71,35.52,7.79,20.07,0.79,32.16,,,9.94,T3,HS_LIVRE,,,74.6,
,,P002_hs_walk01_limpo.c3d,645.3,1.29,,239.48,,,,,,,,4.79,67.31,,13.9,29.0,P002,12.44,20,,,,,312.34,,,,,,17.74,Valida (>= 3 passos),15.52,,T1,HSW,15.58,29.1,,308.51
,,P002_hs_walk02_limpo.c3d,663.83,1.55,,249.35,,,,,,,,5.486,59.68,,39.03,29.71,P002,12.82,22,,,,,389.73,,,,,,15.77,Valida (>= 3 passos),14.16,,T2,HSW,19.03,9.81,,387.41
,,P002_hs_walk03_limpo.c3d,670.55,1.31,,307.57,,,,,,,,4.921,61.78,,13.64,19.23,P002,12.34,16,,,,,300.03,,,,,,13.83,Valida (>= 3 passos),12.24,,T3,HSW,16.05,14.1,,401.89
